;Rótulos de columna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2000;;2001;;2002;;2003;;2004;;2005;;2006;;2007;;2008;;2009;;2010;;2011;;2012;;2013;;2014;;2015;;2016;;2017;;2018;;2019;;2020;;2021;;2022;;Total Promedio de tasa reciclaje %;Total Promedio de residuos_kg_hab
Rótulos de fila;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;Promedio de tasa reciclaje %;Promedio de residuos_kg_hab;;
North Macedonia;;;;;;;;;;;;;;;;;0;349;;;;;0;357;;;;;;;;;;;;;;;;;;;;;0;467;0;391
Norway;30,6;613;44,4;361;45,3;392;45,8;402;36,5;414;39,3;426;40,3;459;42,6;491;43,6;487;43;470;42,1;469;39,9;485;39,8;477;39,2;496;42,2;423;42,8;422;38,2;754;38,8;748;40,7;739;40,9;776;41;604;36,9;736;41,2;768;40,65652174;539,6521739
Poland;2,1;320;4,1;290;3,1;275;2,8;260;4,9;256;5,6;319;6,9;321;7,7;322;10,5;320;13,2;316;16,3;316;11,4;319;12;317;15,1;297;26,5;272;32,5;286;34,8;307;33,8;315;34,3;329;34,1;336;38,7;346;40,3;362;40,9;364;18,76521739;311,5217391
Portugal;10,5;457;11,9;454;7,6;441;10,9;449;13,5;445;15,2;452;15,9;465;17,1;471;17,3;518;19,5;520;18,7;516;20,1;490;26,1;453;25,8;440;30,4;453;29,8;460;30,9;474;29,1;486;29,1;507;28,9;513;26,8;513;30,4;513;;;21,15909091;476,8181818
Romania;0;355;1,6;341;2;385;0,2;353;1,1;349;1,8;383;0,5;396;0,5;391;0,9;411;1,1;381;12,8;313;11,7;259;14,8;251;13,2;254;13,1;249;13,3;247;13,4;261;14;272;11,1;272;11,5;280;11,9;290;11,3;302;12,1;301;7,560869565;317,2173913
Serbia;;;;;;;;;;;;;0;233;0;280;0;347;0;360;0;363;0;375;0;364;1;336;0,7;299;0,8;259;0,3;268;0,3;306;0,3;319;;;15,4;427;16,8;442;17,6;472;3,325;340,625
Slovakia;5,2;254;5,4;239;4,8;270;5,6;281;6,1;261;2;273;4;284;6,6;294;7,4;313;8,3;307;9,1;319;10,9;311;13,4;306;10,8;304;10,4;320;14,9;329;23;348;29,8;378;36,3;414;38,5;421;45,3;478;48,9;497;49,5;478;17,22608696;333,8695652
Slovenia;6;513;2,7;478;9;407;12,6;418;20,4;485;18,6;494;15,4;516;21,9;525;18,9;542;19,6;524;22,4;490;35,7;415;42,1;362;34,8;414;36;432;54,1;449;55,5;457;57,8;471;58,9;486;59,2;504;59,3;487;60,8;511;62,6;487;34,1;472,4782609
Spain;18,4;653;21,4;652;29,3;637;28,7;646;30,9;600;31,4;588;31,2;590;30,6;578;39,7;551;33,2;542;29,2;510;26,7;485;29,8;468;32,5;454;30,8;448;30;456;33,9;463;36,1;473;34,8;475;38;472;38,9;449;42,2;467;38,6;467;32,01304348;527,1304348
Sweden;38,5;425;39;439;39,7;465;41,3;464;43,9;461;44,6;479;47,7;491;46,7;488;45,6;485;49,2;472;47,8;441;47;453;46,9;454;48,2;455;49,3;443;47,6;451;48,4;447;46,8;452;45,8;434;46,6;449;38,3;431;39,5;418;39,7;395;44,7;451,826087
Switzerland;45,3;659;46,6;663;46,7;678;47,5;670;48,7;663;50,6;664;50,1;712;51;724;49,9;739;51,3;705;50,5;711;50,1;692;50;697;51;706;53,5;733;52,7;728;52,5;723;52,5;709;52,5;706;53;709;52,8;706;53,3;704;52,2;677;50,62173913;699,0434783
Turkey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,2;426;9,2;425;11,5;424;11,5;424;12,3;415;12,3;416;;;11;421,6666667
Total general;20,25666667;500,4;21,32333333;488,4333333;21,96666667;496,6666667;23,46333333;496,6;25,15172414;501,3448276;25,75862069;507,9310345;25,43666667;510,7666667;26,32580645;516,6774194;24,99117647;515,5882353;26,52121212;498,4242424;26,534375;480,15625;27,75588235;482,7352941;30,16969697;474,4545455;30,4625;464,5625;32,27878788;469,030303;33,86875;469,84375;34,85882353;496,7647059;35,07352941;506,0588235;35,79117647;517,3235294;38,35625;527,40625;35,83611111;524,75;36,83142857;532,7714286;37,188;520,96;29,5545082;499,9836066
