Tipo de gasto;Ámbito medioambiental;periodo;Total
GASTO TOTAL;Gestión de residuos;2014;889.905.661
GASTO TOTAL;Gestión de residuos;2013;862.728.260
GASTO TOTAL;Gestión de residuos;2012;..
GASTO TOTAL;Gestión de residuos;2011;..
GASTO TOTAL;Gestión de residuos;2010;..
GASTO TOTAL;Gestión de residuos;2009;..
GASTO TOTAL;Gestión de residuos;2008;..
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2021;48.241.601
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2020;34.112.084
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2019;55.846.882
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2018;52.691.259
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2017;48.560.222
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2016;44.912.726
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2015;43.472.744
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2014;52.286.803
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2013;45.030.425
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2012;..
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2011;..
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2010;..
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2009;..
GASTO TOTAL;Protección y descontaminación de suelos aguas subterráneas y superficiales;2008;..
GASTO TOTAL;Reducción del ruido y las vibraciones;2021;16.125.650
GASTO TOTAL;Reducción del ruido y las vibraciones;2020;12.907.734
GASTO TOTAL;Reducción del ruido y las vibraciones;2019;16.963.253
GASTO TOTAL;Reducción del ruido y las vibraciones;2018;14.468.803
GASTO TOTAL;Reducción del ruido y las vibraciones;2017;16.598.321
GASTO TOTAL;Reducción del ruido y las vibraciones;2016;11.428.510
GASTO TOTAL;Reducción del ruido y las vibraciones;2015;10.785.560
GASTO TOTAL;Reducción del ruido y las vibraciones;2014;11.896.750
GASTO TOTAL;Reducción del ruido y las vibraciones;2013;11.659.339
GASTO TOTAL;Reducción del ruido y las vibraciones;2012;..
GASTO TOTAL;Reducción del ruido y las vibraciones;2011;..
GASTO TOTAL;Reducción del ruido y las vibraciones;2010;..
GASTO TOTAL;Reducción del ruido y las vibraciones;2009;..
GASTO TOTAL;Reducción del ruido y las vibraciones;2008;..
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2021;2.022.606
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2020;82.938.448
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2019;47.013.681
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2018;38.203.400
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2017;38.484.048
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2016;48.793.021
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2015;62.268.971
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2014;60.833.267
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2013;64.851.494
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2012;..
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2011;..
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2010;..
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2009;..
GASTO TOTAL;Protección de la biodiversidad y los paisajes;2008;..
GASTO TOTAL;Otras actividades de protección ambiental;2021;441.238.476
GASTO TOTAL;Otras actividades de protección ambiental;2020;202.245.502
GASTO TOTAL;Otras actividades de protección ambiental;2019;199.688.489
GASTO TOTAL;Otras actividades de protección ambiental;2018;184.153.864
GASTO TOTAL;Otras actividades de protección ambiental;2017;187.414.451
GASTO TOTAL;Otras actividades de protección ambiental;2016;177.669.409
GASTO TOTAL;Otras actividades de protección ambiental;2015;168.257.012
GASTO TOTAL;Otras actividades de protección ambiental;2014;156.447.507
GASTO TOTAL;Otras actividades de protección ambiental;2013;144.174.305
GASTO TOTAL;Otras actividades de protección ambiental;2012;..
GASTO TOTAL;Otras actividades de protección ambiental;2011;..
GASTO TOTAL;Otras actividades de protección ambiental;2010;..
GASTO TOTAL;Otras actividades de protección ambiental;2009;..
GASTO TOTAL;Otras actividades de protección ambiental;2008;..
