Tipo de indicador;Ámbito de protección ambiental;periodo;Total
Estructura porcentual;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2010;7,5
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2022 (avance);5,2
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2021;5,7
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2020;6,3
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2019;5,9
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2018;6
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2017;6,5
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2016;7,2
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2015;6,9
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2014;7,6
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2013;7,4
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2012;6,9
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2011;8,9
Estructura porcentual;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2010;6,8
Tasas de variación interanuales;TOTAL;2022 (avance);16
Tasas de variación interanuales;TOTAL;2021;10,6
Tasas de variación interanuales;TOTAL;2020;-1,5
Tasas de variación interanuales;TOTAL;2019;0,5
Tasas de variación interanuales;TOTAL;2018;5,5
Tasas de variación interanuales;TOTAL;2017;8,8
Tasas de variación interanuales;TOTAL;2016;0,6
Tasas de variación interanuales;TOTAL;2015;3,7
Tasas de variación interanuales;TOTAL;2014;-1,1
Tasas de variación interanuales;TOTAL;2013;-1,3
Tasas de variación interanuales;TOTAL;2012;-5,3
Tasas de variación interanuales;TOTAL;2011;-5,5
Tasas de variación interanuales;TOTAL;2010;..
Tasas de variación interanuales;Gestión de las aguas residuales;2022 (avance);18,6
Tasas de variación interanuales;Gestión de las aguas residuales;2021;10,9
Tasas de variación interanuales;Gestión de las aguas residuales;2020;-0,3
Tasas de variación interanuales;Gestión de las aguas residuales;2019;2,5
Tasas de variación interanuales;Gestión de las aguas residuales;2018;1,2
Tasas de variación interanuales;Gestión de las aguas residuales;2017;3,2
Tasas de variación interanuales;Gestión de las aguas residuales;2016;-2,6
Tasas de variación interanuales;Gestión de las aguas residuales;2015;8,6
Tasas de variación interanuales;Gestión de las aguas residuales;2014;-4,3
Tasas de variación interanuales;Gestión de las aguas residuales;2013;11,8
Tasas de variación interanuales;Gestión de las aguas residuales;2012;-2,4
Tasas de variación interanuales;Gestión de las aguas residuales;2011;-23
Tasas de variación interanuales;Gestión de las aguas residuales;2010;..
Tasas de variación interanuales;Gestión de residuos;2022 (avance);16
Tasas de variación interanuales;Gestión de residuos;2021;8,8
Tasas de variación interanuales;Gestión de residuos;2020;-1,4
Tasas de variación interanuales;Gestión de residuos;2019;-0,6
Tasas de variación interanuales;Gestión de residuos;2018;8,1
Tasas de variación interanuales;Gestión de residuos;2017;11,8
Tasas de variación interanuales;Gestión de residuos;2016;1,5
Tasas de variación interanuales;Gestión de residuos;2015;4,3
Tasas de variación interanuales;Gestión de residuos;2014;-0,5
Tasas de variación interanuales;Gestión de residuos;2013;-1,9
Tasas de variación interanuales;Gestión de residuos;2012;0,9
Tasas de variación interanuales;Gestión de residuos;2011;-3,2
Tasas de variación interanuales;Gestión de residuos;2010;..
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2022 (avance);11,3
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2021;21,5
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2020;1,5
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2019;-7,8
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2018;-3,1
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2017;2,2
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2016;-2,9
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2015;-5,5
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2014;1,4
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2013;-16,5
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2012;-23
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2011;-13,4
Tasas de variación interanuales;Protección de la biodiversidad y el paisaje;2010;..
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2022 (avance);20,3
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2021;27,5
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2020;-11,2
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2019;12
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2018;7
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2017;15,4
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2016;1,4
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2015;3,1
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2014;-2,5
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2013;-17,3
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2012;-10,8
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2011;10,7
Tasas de variación interanuales;Protección del aire y del clima- Protección y descontaminación de suelos aguas subterráneas y aguas superficiales- Disminución del ruido y de las vibraciones- Protección contra las radiaciones.;2010;..
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2022 (avance);6,1
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2021;1,1
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2020;5
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2019;-1,5
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2018;-2,1
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2017;-2,4
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2016;4,3
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2015;-5,3
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2014;1,8
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2013;6,2
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2012;-27,3
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2011;23,7
Tasas de variación interanuales;Investigación y desarrollo sobre el medio ambiente- Otras actividades de protección del medio ambiente.;2010;..
