Tipo de equipo e instalación;Ámbito medioambiental;Agrupación de actividad económica;periodo;Total
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2015;2.251.592
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2014;866.997
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2013;577.078
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2012;1.156.111
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2011;522.978
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2010;335.641
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2009;5.343.243
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C16. Industria de la madera y del corcho;2008;6.560.727
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2021;8.741.163
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2020;7.884.563
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2019;27.267.443
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2018;5.486.333
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2017;23.079.128
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2016;13.768.081
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2015;2.581.882
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2014;5.342.761
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2013;23.302.463
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2012;7.859.938
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2011;9.449.908
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2010;11.476.069
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2009;28.363.869
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C17-18. Industria del papel artes gráficas y reproducción de soportes grabados;2008;26.852.452
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2021;26.771.577
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2020;18.767.216
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2019;18.301.612
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2018;26.923.602
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2017;27.642.201
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2016;28.813.248
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2015;31.273.478
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2014;31.628.945
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2013;40.193.187
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2012;59.908.130
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2011;26.908.141
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2010;30.568.685
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2009;36.479.310
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C19. Coquerías y refino de petróleo;2008;34.357.745
