Total Nacional;Comunidades y Ciudades Autónomas;Clase de residuos;periodo;Total
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2018;16
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2017;31,2
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2016;36,6
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2015;31,8
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2014;31
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2013;30,9
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2012;31,3
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2011;31,4
Total Nacional;03 Asturias Principado de;Residuos de vidrio;2010;29,4
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2021;16,5
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2020;15,9
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2019;14,1
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2018;12,4
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2017;11,1
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2016;10,5
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2015;10
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2014;9,5
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2013;9,4
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2012;9,4
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2011;9,6
Total Nacional;03 Asturias Principado de;Envases mixtos y embalajes mezclados;2010;9,6
Total Nacional;03 Asturias Principado de;Total;2021;511,5
Total Nacional;03 Asturias Principado de;Total;2020;471,1
Total Nacional;03 Asturias Principado de;Total;2019;497,6
Total Nacional;03 Asturias Principado de;Total;2018;489,1
Total Nacional;03 Asturias Principado de;Total;2017;516,1
Total Nacional;03 Asturias Principado de;Total;2016;518,7
Total Nacional;03 Asturias Principado de;Total;2015;519,4
Total Nacional;03 Asturias Principado de;Total;2014;498
Total Nacional;03 Asturias Principado de;Total;2013;489,4
Total Nacional;03 Asturias Principado de;Total;2012;499,9
Total Nacional;03 Asturias Principado de;Total;2011;537,1
Total Nacional;03 Asturias Principado de;Total;2010;574
Total Nacional;04 Balears Illes;Residuos mezclados;2021;433
Total Nacional;04 Balears Illes;Residuos mezclados;2020;406,8
Total Nacional;04 Balears Illes;Residuos mezclados;2019;559,1
Total Nacional;04 Balears Illes;Residuos mezclados;2018;627,3
Total Nacional;04 Balears Illes;Residuos mezclados;2017;592,5
Total Nacional;04 Balears Illes;Residuos mezclados;2016;611,2
Total Nacional;04 Balears Illes;Residuos mezclados;2015;678,7
Total Nacional;04 Balears Illes;Residuos mezclados;2014;547,7
Total Nacional;04 Balears Illes;Residuos mezclados;2013;545,7
Total Nacional;04 Balears Illes;Residuos mezclados;2012;597,5
Total Nacional;04 Balears Illes;Residuos mezclados;2011;675
Total Nacional;04 Balears Illes;Residuos mezclados;2010;640,8
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2021;39,1
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2020;30,2
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2019;40,9
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2018;46,2
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2017;39,4
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2016;38
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2015;35,6
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2014;35,3
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2013;34,4
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2012;35,2
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2011;23
Total Nacional;04 Balears Illes;Residuos de papel y cartón;2010;22,6
Total Nacional;04 Balears Illes;Residuos de vidrio;2021;33,2
Total Nacional;04 Balears Illes;Residuos de vidrio;2020;24,2
Total Nacional;04 Balears Illes;Residuos de vidrio;2019;35,9
Total Nacional;04 Balears Illes;Residuos de vidrio;2018;34,7
Total Nacional;04 Balears Illes;Residuos de vidrio;2017;33,4
Total Nacional;04 Balears Illes;Residuos de vidrio;2016;31,5
Total Nacional;04 Balears Illes;Residuos de vidrio;2015;30,4
Total Nacional;04 Balears Illes;Residuos de vidrio;2014;28,2
Total Nacional;04 Balears Illes;Residuos de vidrio;2013;26,4
Total Nacional;04 Balears Illes;Residuos de vidrio;2012;26,3
Total Nacional;04 Balears Illes;Residuos de vidrio;2011;20,4
Total Nacional;04 Balears Illes;Residuos de vidrio;2010;19,4
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2021;35
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2020;27,6
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2019;32,1
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2018;29,9
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2017;27,6
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2016;18,2
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2015;17,3
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2014;13,1
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2013;12,5
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2012;21,6
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2011;21,6
Total Nacional;04 Balears Illes;Envases mixtos y embalajes mezclados;2010;13,3
Total Nacional;04 Balears Illes;Total;2021;604,9
Total Nacional;04 Balears Illes;Total;2020;551,7
Total Nacional;04 Balears Illes;Total;2019;737,7
Total Nacional;04 Balears Illes;Total;2018;809,3
Total Nacional;04 Balears Illes;Total;2017;750
Total Nacional;04 Balears Illes;Total;2016;740,1
Total Nacional;04 Balears Illes;Total;2015;800,6
Total Nacional;04 Balears Illes;Total;2014;664,1
Total Nacional;04 Balears Illes;Total;2013;727,4
Total Nacional;04 Balears Illes;Total;2012;709,7
Total Nacional;04 Balears Illes;Total;2011;775,1
Total Nacional;04 Balears Illes;Total;2010;741,4
Total Nacional;05 Canarias;Residuos mezclados;2021;451,1
Total Nacional;05 Canarias;Residuos mezclados;2020;394,8
Total Nacional;05 Canarias;Residuos mezclados;2019;482,7
Total Nacional;05 Canarias;Residuos mezclados;2018;527,4
Total Nacional;05 Canarias;Residuos mezclados;2017;529,6
Total Nacional;05 Canarias;Residuos mezclados;2016;511,9
Total Nacional;05 Canarias;Residuos mezclados;2015;538,1
Total Nacional;05 Canarias;Residuos mezclados;2014;532,3
Total Nacional;05 Canarias;Residuos mezclados;2013;508,5
Total Nacional;05 Canarias;Residuos mezclados;2012;555,3
Total Nacional;05 Canarias;Residuos mezclados;2011;569,6
Total Nacional;05 Canarias;Residuos mezclados;2010;609,3
Total Nacional;05 Canarias;Residuos de papel y cartón;2021;9,3
Total Nacional;05 Canarias;Residuos de papel y cartón;2020;41,3
Total Nacional;05 Canarias;Residuos de papel y cartón;2019;21,8
Total Nacional;05 Canarias;Residuos de papel y cartón;2018;18,5
Total Nacional;05 Canarias;Residuos de papel y cartón;2017;14,8
Total Nacional;05 Canarias;Residuos de papel y cartón;2016;15,4
Total Nacional;05 Canarias;Residuos de papel y cartón;2015;14,8
Total Nacional;05 Canarias;Residuos de papel y cartón;2014;14,5
Total Nacional;05 Canarias;Residuos de papel y cartón;2013;14,5
Total Nacional;05 Canarias;Residuos de papel y cartón;2012;16
Total Nacional;05 Canarias;Residuos de papel y cartón;2011;16,4
Total Nacional;05 Canarias;Residuos de papel y cartón;2010;33,6
Total Nacional;05 Canarias;Residuos de vidrio;2021;16,3
Total Nacional;05 Canarias;Residuos de vidrio;2020;15,7
Total Nacional;05 Canarias;Residuos de vidrio;2019;20
Total Nacional;05 Canarias;Residuos de vidrio;2018;18,8
Total Nacional;05 Canarias;Residuos de vidrio;2017;18
Total Nacional;05 Canarias;Residuos de vidrio;2016;16,8
Total Nacional;05 Canarias;Residuos de vidrio;2015;15,6
Total Nacional;05 Canarias;Residuos de vidrio;2014;14,7
Total Nacional;05 Canarias;Residuos de vidrio;2013;13,9
Total Nacional;05 Canarias;Residuos de vidrio;2012;13,9
Total Nacional;05 Canarias;Residuos de vidrio;2011;14
Total Nacional;05 Canarias;Residuos de vidrio;2010;13,3
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2021;13,4
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2020;16
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2019;12,6
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2018;10,4
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2017;9,3
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2016;8,8
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2015;8
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2014;7,7
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2013;7,5
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2012;7,3
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2011;7,1
Total Nacional;05 Canarias;Envases mixtos y embalajes mezclados;2010;9,6
Total Nacional;05 Canarias;Total;2021;548,9
Total Nacional;05 Canarias;Total;2020;503,5
Total Nacional;05 Canarias;Total;2019;577,6
Total Nacional;05 Canarias;Total;2018;608,3
Total Nacional;05 Canarias;Total;2017;598,9
Total Nacional;05 Canarias;Total;2016;581,2
Total Nacional;05 Canarias;Total;2015;594,1
Total Nacional;05 Canarias;Total;2014;594,6
Total Nacional;05 Canarias;Total;2013;571,4
Total Nacional;05 Canarias;Total;2012;626,1
Total Nacional;05 Canarias;Total;2011;669,7
Total Nacional;05 Canarias;Total;2010;701,4
Total Nacional;06 Cantabria;Residuos mezclados;2021;417,9
Total Nacional;06 Cantabria;Residuos mezclados;2020;412,6
