Sectores de actividad económica agregados;Categoría de residuos (CER-Stat) agregada;Peligrosidad;año;Total
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2021;7.707,70
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2020;7.714,60
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2019;7.376,50
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2018;7.707,80
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2017;6.233,30
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2016;7.647,20
A: Agricultura ganadería silvicultura y pesca;(08): Equipos desechados;Total;2015;7.317,60
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2021;5.792.342,30
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2020;5.778.781,20
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2019;5.683.985,70
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2018;5.718.372,80
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2017;5.594.171,50
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2016;5.730.082,30
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;No peligrosos;2015;5.679.812,20
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2021;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2020;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2019;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2018;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2017;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2016;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Peligrosos;2015;..
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2021;5.792.342,30
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2020;5.778.781,20
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2019;5.683.985,70
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2018;5.718.372,80
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2017;5.594.171,50
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2016;5.730.082,30
A: Agricultura ganadería silvicultura y pesca;(09): Animales y vegetales;Total;2015;5.679.812,20
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;No peligrosos;2021;396.873,20
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;No peligrosos;2020;397.820,90
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;No peligrosos;2019;354.502,70
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;No peligrosos;2018;386.006,80
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;No peligrosos;2017;329.071,30
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;No peligrosos;2016;390.945,30
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;No peligrosos;2015;346.663,50
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Peligrosos;2021;0,5
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Peligrosos;2020;0,5
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Peligrosos;2019;0,5
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Peligrosos;2018;0,5
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Peligrosos;2017;0,5
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Peligrosos;2016;0,5
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Peligrosos;2015;0,5
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Total;2021;396.873,70
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Total;2020;397.821,50
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Total;2019;354.503,20
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Total;2018;386.007,30
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Total;2017;329.071,80
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Total;2016;390.945,80
A: Agricultura ganadería silvicultura y pesca;(10): Residuos mezclados;Total;2015;346.664,00
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;No peligrosos;2021;5.107,30
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;No peligrosos;2020;5.179,80
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;No peligrosos;2019;4.748,60
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;No peligrosos;2018;5.327,20
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;No peligrosos;2017;4.711,70
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;No peligrosos;2016;4.962,20
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;No peligrosos;2015;4.780,60
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Peligrosos;2021;..
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Peligrosos;2020;..
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Peligrosos;2019;..
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Peligrosos;2018;..
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Peligrosos;2017;..
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Peligrosos;2016;..
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Peligrosos;2015;..
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Total;2021;5.107,30
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Total;2020;5.179,80
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Total;2019;4.748,60
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Total;2018;5.327,20
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Total;2017;4.711,70
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Total;2016;4.962,20
A: Agricultura ganadería silvicultura y pesca;(11): Lodos comunes;Total;2015;4.780,60
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;No peligrosos;2021;13.118,60
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;No peligrosos;2020;13.081,70
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;No peligrosos;2019;12.532,40
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;No peligrosos;2018;13.041,70
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;No peligrosos;2017;11.050,80
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;No peligrosos;2016;12.774,60
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;No peligrosos;2015;12.247,20
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Peligrosos;2021;0,4
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Peligrosos;2020;0,4
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Peligrosos;2019;0,4
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Peligrosos;2018;0,4
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Peligrosos;2017;0,4
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Peligrosos;2016;0,4
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Peligrosos;2015;0,4
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Total;2021;13.119,00
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Total;2020;13.082,10
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Total;2019;12.532,80
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Total;2018;13.042,10
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Total;2017;11.051,20
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Total;2016;12.775,00
A: Agricultura ganadería silvicultura y pesca;(12-13): Minerales;Total;2015;12.247,60
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;No peligrosos;2021;9.020,40
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;No peligrosos;2020;9.021,40
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;No peligrosos;2019;8.685,60
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;No peligrosos;2018;8.953,20
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;No peligrosos;2017;7.887,50
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;No peligrosos;2016;8.915,60
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;No peligrosos;2015;8.637,70
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Peligrosos;2021;1.330,40
